number,k_number,sensitivity/recall,specificity,precision,f_measure,accuracy
3,1,0.5284131134995845(0.02416027643976128),0.9885134762902329(0.004339102033643881),0.9121495327102804(0.03426224818658573),0.668467068559343(0.01939844502128366),0.8148(0.012781236246936329)
3,2,0.5648168455833298(0.019824177486367243),0.9895924691971123(0.0038754132084347958),0.9196261682242991(0.03019718583439909),0.6996842937496297(0.022034840015931794),0.8257000000000001(0.005020956084253281)
3,3,0.5230669695526095(0.01776646233400372),0.9866566749541299(0.0040157091088291),0.8981308411214954(0.030841121495327105),0.6609771899178345(0.020472738546746885),0.8161999999999999(0.00536283507111675)
3,4,0.5502439507229273(0.023160864402537003),0.9866034105497354(0.004645702389343899),0.8962616822429906(0.03748817031800296),0.6811062786684143(0.01799392326547385),0.8253(0.011958678856796832)
3,5,0.5209519978901586(0.025872572884768453),0.9870068324932711(0.0037365510011298604),0.9009345794392523(0.02931661147917406),0.6596702312234696(0.02348675440442292),0.8145000000000001(0.010965856099730619)
3,10,0.5411879123650755(0.025861451257385138),0.9893618008319368(0.0033085186058313186),0.9186915887850468(0.025094806695509446),0.6809185330097935(0.025448998543477732),0.8180999999999999(0.006594694837519008)
3,15,0.5291288181910085(0.02312058834064322),0.987873374921587(0.0035201328548256335),0.9074766355140186(0.026908747754930785),0.6683082449217042(0.02368253180418654),0.8163(0.006050619802962303)
3,20,0.5543410682515619(0.03593727678576534),0.9884714765035895(0.0025143537183212215),0.911214953271028(0.019714974868905596),0.6886061688704389(0.02863158097143154),0.8234(0.011850738373620415)
3,30,0.5641699747777893(0.029693034985538706),0.9884068660784493(0.003511797722241293),0.9102803738317757(0.02747091300317583),0.6960468202175863(0.024725993588554703),0.8269(0.010094057657849976)
3,40,0.546634880630429(0.024855705342710494),0.9892868345227971(0.002142498541823408),0.9177570093457943(0.017131124093292864),0.6846312469442163(0.017259546906490144),0.8199(0.01040624812312292)
3,50,0.5615632291161964(0.030085972064459822),0.9888555957118392(0.002458209112386247),0.9140186915887851(0.019061755191001065),0.6952654797535345(0.02531876104279147),0.8253999999999999(0.0090465463023189)
